FILE_ID,CATEGORY_ID
32b14c0a-1c5b-11e8-aaec-00163e025669,13
b73952e9-1c70-11e8-aaf0-00163e025669,5
3fbf9304-1c83-11e8-aaf2-00163e025669,0
d27eee7e-1c77-11e8-aaf0-00163e025669,4
70d8fb36-1c7e-11e8-aaf1-00163e025669,8
2c920e97-1c78-11e8-aaf0-00163e025669,4
cf6cae0e-16a9-11e8-aaec-00163e025669,16
addec26f-16ab-11e8-aaec-00163e025669,16
7c88d228-1c77-11e8-aaf0-00163e025669,4
c90afa72-1c83-11e8-aaf3-00163e025669,9
b277630b-1c85-11e8-aaf5-00163e025669,0
13f6761a-1c70-11e8-aaf0-00163e025669,12
7dbf8cf6-1c6d-11e8-aaec-00163e025669,10
cbc62e2f-4267-11e8-aaf9-00163e025669,19
08445e96-4265-11e8-aaf9-00163e025669,19
fd9f4d04-1c6f-11e8-aaef-00163e025669,14
3e6e95b3-1c6e-11e8-aaec-00163e025669,10
8b27dc86-1658-11e8-aaec-00163e025669,7
2b185d98-1c66-11e8-aaec-00163e025669,17
ce3c7b24-4267-11e8-aaf9-00163e025669,19
14d706bd-1c6e-11e8-aaec-00163e025669,10
361c18b0-1c52-11e8-aaec-00163e025669,6
31f60996-16ab-11e8-aaec-00163e025669,16
da7e32e2-1c68-11e8-aaec-00163e025669,15
4b290aa8-1b8a-11e8-aaec-00163e025669,11
f5984459-1657-11e8-aaec-00163e025669,7
2b1e6616-1c70-11e8-aaf0-00163e025669,5
d9534dc0-1c50-11e8-aaec-00163e025669,6
d1d314a7-1c7b-11e8-aaf0-00163e025669,3
a1b4ef94-1c83-11e8-aaf3-00163e025669,0
50d17f16-1c7e-11e8-aaf1-00163e025669,3
3990c3be-1c85-11e8-aaf5-00163e025669,0
0a8ddd3d-1c7a-11e8-aaf0-00163e025669,4
6d098ca7-1c89-11e8-aaf6-00163e025669,18
2f61e582-1c6f-11e8-aaef-00163e025669,14
189e572a-1c53-11e8-aaec-00163e025669,6
90b88a53-1c65-11e8-aaec-00163e025669,17
3a6c7c78-1c77-11e8-aaf0-00163e025669,4
43c082d7-1c3d-11e8-aaec-00163e025669,1
cb2fbff2-1659-11e8-aaec-00163e025669,7
10ce9b33-1c6d-11e8-aaec-00163e025669,10
68909b63-1c78-11e8-aaf0-00163e025669,4
e94770d0-1c7d-11e8-aaf1-00163e025669,3
2aa18383-16ab-11e8-aaec-00163e025669,16
f01c5691-1c6f-11e8-aaef-00163e025669,14
147e71c4-1c54-11e8-aaec-00163e025669,6
31d861a3-1c82-11e8-aaf2-00163e025669,9
3e78fe16-1c65-11e8-aaec-00163e025669,17
0b296384-1c47-11e8-aaec-00163e025669,2
626f20d6-1c65-11e8-aaec-00163e025669,17
8491a60b-1c83-11e8-aaf2-00163e025669,0
bcb3405a-1c50-11e8-aaec-00163e025669,6
8816ab96-1c64-11e8-aaec-00163e025669,17
c6da00b3-1c6e-11e8-aaee-00163e025669,10
91348bba-1c84-11e8-aaf4-00163e025669,0
6af95bad-1c7e-11e8-aaf1-00163e025669,8
c5d94251-4265-11e8-aaf9-00163e025669,19
600206ec-1c51-11e8-aaec-00163e025669,6
f9633559-1c52-11e8-aaec-00163e025669,6
04ec32c9-1c7c-11e8-aaf0-00163e025669,8
981a870b-1c47-11e8-aaec-00163e025669,2
b5cc89c2-1659-11e8-aaec-00163e025669,7
ccee8bbe-1c7b-11e8-aaf0-00163e025669,8
2b679cf2-1c6e-11e8-aaec-00163e025669,10
1e009fc6-1c5c-11e8-aaec-00163e025669,13
cea895ec-4266-11e8-aaf9-00163e025669,19
6ef49774-1c53-11e8-aaec-00163e025669,6
071dbf7a-1c7d-11e8-aaf0-00163e025669,3
f025e562-1c82-11e8-aaf2-00163e025669,9
d2750ccd-1c65-11e8-aaec-00163e025669,17
1971a23d-165a-11e8-aaec-00163e025669,7
